typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","320","GTM","Guatemala","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","376.333","true","-1","N/A","0","false","376.333","true","0","false","8232","7700","8232","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","324","GIN","Guinea","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46012.764","true","-1","N/A","0","false","46012.764","true","0","false","474504","461326","474504","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","340","HND","Honduras","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3181484.158","true","-1","N/A","0","false","3181484.158","true","0","false","47498598","46802700","47498598","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","151574.399","true","-1","N/A","0","false","151574.399","true","0","false","1728352","1616448","1728352","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","348","HUN","Hungary","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30981334.616","true","-1","N/A","0","false","30981334.616","true","0","false","328612886","318933725","328612886","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","352","ISL","Iceland","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5400.291","true","-1","N/A","0","false","5400.291","true","0","false","34283","33421","34283","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12198238.547","true","-1","N/A","0","false","12198238.547","true","0","false","156596763","147061074","156596763","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","372","IRL","Ireland","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","538896.158","true","-1","N/A","0","false","538896.158","true","0","false","7986169","7652740","7986169","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","376","ISR","Israel","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4676865.455","true","-1","N/A","0","false","4676865.455","true","0","false","70758707","69766262","70758707","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","65582649.275","true","-1","N/A","0","false","65582649.275","true","0","false","804402776","777937888","804402776","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","384","CIV","Côte d'Ivoire","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","96836.938","true","-1","N/A","0","false","96836.938","true","0","false","1826870","1797613","1826870","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","388","JAM","Jamaica","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","549.427","true","-1","N/A","0","false","549.427","true","0","false","6762","6686","6762","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","512263664.382","true","-1","N/A","0","false","512263664.382","true","0","false","7426315699","7194371403","7426315699","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","398","KAZ","Kazakhstan","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","140621.998","true","-1","N/A","0","false","140621.998","true","0","false","2186208","2110337","2186208","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","400","JOR","Jordan","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","476663.181","true","-1","N/A","0","false","476663.181","true","0","false","7628177","7213349","7628177","6","false","true",
